Continent,Country,Active Cases,Death Rate,Population,Recovery_rate,Serious Or Critical,Total Cases Per 1M Population,Total Confirmed,Total Deaths,Total Deaths Per 1M Population,Total Recovered,Total Tests,Total Tests Per 1M Population
Asia,Kyrgyzstan,2172,1.518123990,6686665,97.308018656,131,27672,185031,2809,420,180050,1907195,285224
Asia,Laos,107039,0.356312126,7434943,6.393581155,,15439,114787,409,55,7339,923360,124192
Europe,Latvia,12855,1.633415622,1854678,93.826571876,73,152667,283149,4625,2494,265669,5654192,3048611
Asia,Lebanon,67007,1.233941219,6779253,89.791490319,186,110135,746632,9213,1359,670412,4795578,707390
Africa,Lesotho,13013,2.243408114,2167900,54.378479283,,13838,29999,673,310,16313,346608,159882
Africa,Liberia,817,4.189169464,5236988,83.885564151,2,1308,6851,287,55,5747,139824,26699
Africa,Libya,7398,1.470138372,7012362,96.643944570,135,55941,392276,5767,822,379111,2058564,293562
Europe,Liechtenstein,417,1.100433974,38293,92.436453813,8,168490,6452,71,1854,5964,80413,2099940
Europe,Lithuania,30611,1.406325367,2664874,92.848442307,88,199937,532807,7493,2812,494703,6671559,2503518
Europe,Luxembourg,11114,0.848974771,641350,88.895040880,19,168965,108366,920,1434,96332,3835662,5980607
Europe,Macedonia,6818,3.500481316,2083245,93.516233482,,109704,228540,8000,3840,213722,1626464,780736
Africa,Madagascar,6659,2.034939162,28764565,85.265285883,22,1823,52434,1067,37,44708,320884,11156
Africa,Malawi,14057,3.085187237,19875408,78.806889178,67,3906,77629,2395,121,61177,495307,24921
Asia,Malaysia,39739,1.139820479,32992128,97.427191258,257,84055,2773156,31609,958,2701808,41683576,1263440
Asia,Maldives,3050,0.272024730,554912,96.585265327,23,174893,97050,264,476,93736,1896566,3417778
Africa,Mali,2550,2.934220899,21130191,85.898221950,,1081,22834,670,32,19614,545973,25839
Europe,Malta,15477,0.830544831,443320,72.610896611,5,131451,58275,484,1092,42314,1211456,2732690
Australia/Oceania,Marshall Islands,0,,59793,100,,67,4,,,4,,
North America,Martinique,49113,1.575842416,374825,0.207979202,1,133409,50005,788,2102,104,488892,1304321
Africa,Mauritania,4321,1.962101868,4833957,88.359539488,27,9236,44646,876,181,39449,579302,119840
Africa,Mauritius,994,3.190153228,1274957,92.648413296,,18735,23886,762,598,22130,358675,281323
Africa,Mayotte,21521,0.753921608,282743,12.014105630,,87256,24671,186,658,2964,176919,625724
North America,Mexico,407526,7.440670453,130978457,82.445199805,4798,30763,4029274,299805,2289,3321943,12515177,95551
Australia/Oceania,Micronesia,0,,116844,100,,9,1,,,1,,
Europe,Moldova,4453,2.730815807,4019795,96.091771064,123,94085,378202,10328,2569,363421,2425628,603421
Europe,Monaco,481,0.746540422,39662,90.495265841,4,138470,5492,41,1034,4970,54960,1385709
Asia,Mongolia,76334,0.527757706,3357978,79.982229349,192,116635,391657,2067,616,313256,4030048,1200141
Europe,Montenegro,19357,1.325182840,628186,88.109922498,60,291665,183220,2428,3865,161435,1015494,1616550
North America,Montserrat,45,1.111111111,4997,48.888888889,,18011,90,1,200,44,3648,730038
Africa,Morocco,18152,1.521309275,37571181,96.621858694,103,26019,977579,14872,396,944555,10939945,291179
Africa,Mozambique,35905,1.016035150,32575694,81.317745927,13,6239,203241,2065,63,165271,1132400,34762
Asia,Myanmar,2740,3.627375739,54960783,95.857222398,,9673,531624,19284,351,509600,6098644,110964
Africa,Namibia,12997,2.441059603,2610350,88.951655629,26,57847,151000,3686,1412,134317,881231,337591
Asia,Nepal,5431,1.397023408,29927703,97.949017436,114,27750,830480,11602,388,813447,4901742,163786
Europe,Netherlands,457058,0.647833985,17192156,85.279749992,436,188918,3247900,21041,1224,2769801,21107399,1227734
Australia/Oceania,New Caledonia,355,2.164869029,289643,95.100154083,4,44814,12980,281,970,12344,98964,341676
Australia/Oceania,New Zealand,1081,0.352526439,5002100,92.175295500,17,2892,14467,51,10,13335,5639810,1127488
North America,Nicaragua,13088,1.215337213,6743566,24.107040968,,2599,17526,213,32,4225,,
Africa,Niger,310,3.649538867,25526746,92.266139657,2,297,7590,277,11,7003,205130,8036
Africa,Nigeria,25099,1.246108458,213845199,88.526266891,11,1148,245404,3058,14,217247,3823309,17879
Europe,Norway,330556,0.320536429,5485270,21.135920277,87,76725,420857,1349,246,88952,9417537,1716878
Asia,Oman,1972,1.342113413,5302489,98.015028280,9,57851,306755,4117,776,300666,25000000,4714767
Asia,Pakistan,13046,2.227568146,227364550,96.768776042,636,5717,1299848,28955,127,1257847,23655230,104041
North America,Panama,22352,1.466189031,4417296,94.131895963,35,114952,507779,7445,1685,477982,4582752,1037456
Australia/Oceania,Papua New Guinea,55,1.628772220,9202778,98.219649993,7,3943,36285,591,64,35639,249149,27073
South America,Paraguay,6161,3.532413869,7264830,95.160722392,41,64893,471434,16653,2292,448620,2059543,283495
South America,Peru,,8.751358073,33665283,,910,68870,2318543,202904,6027,,21999418,653475
Asia,Philippines,56561,1.791086418,111783156,96.251051865,899,25844,2888917,51743,463,2780613,25509903,228209
Europe,Poland,396410,2.376263731,37783974,88.138636879,1836,110610,4179292,99311,2628,3683571,27705500,733261
Europe,Portugal,239098,1.268620298,10151779,82.791257993,143,147755,1499976,19029,1874,1241849,27780292,2736495
Asia,Qatar,12881,0.237433870,2807805,94.813721987,42,92700,260283,618,220,246784,3210583,1143449
Africa,Reunion,13094,0.487436017,904963,84.279897627,34,94987,85960,419,463,72447,1424291,1573867
Europe,Romania,15092,3.224523447,19043736,95.949814729,400,95983,1827867,58940,3095,1753835,17349823,911051
Europe,Russia,663806,2.960174696,146029016,90.778272476,2300,72597,10601300,313817,2149,9623677,242300000,1659259
Africa,Rwanda,70239,1.162880049,13436450,38.866832305,4,8717,117123,1362,101,45522,4093759,304676
North America,Saint Barthelemy,,0.316622691,9923,,,190970,1895,6,605,,56491,5692936
Africa,Saint Helena,0,,6104,100,,328,2,,,2,,
North America,Saint Kitts And Nevis,643,0.802522213,53767,80.768128404,1,64891,3489,28,521,2818,60991,1134358
North America,Saint Lucia,634,2.143057898,184895,93.402192243,7,76973,14232,305,1650,13293,110917,599892
North America,Saint Martin,2793,1.364705882,39661,32.917647059,7,107158,4250,58,1462,1399,78366,1975896
North America,Saint Pierre And Miquelon,16,,5751,85.840707965,,19649,113,,,97,14402,2504260
North America,Saint Vincent And The Grenadines,603,1.374399735,111472,88.640503395,7,54175,6039,83,745,5353,94386,846724
Australia/Oceania,Samoa,0,,200406,100,,15,3,,,3,,
Europe,San Marino,1122,1.201838105,34039,85.577942736,5,249332,8487,102,2997,7263,107206,3149505
Africa,Sao Tome And Principe,286,1.512146753,225301,91.398116014,,17905,4034,61,271,3687,29036,128876
